caseId,sourceName,articleTitle,articleUrl,canonicalEntity,entityType,eventType,publishBlocked,failureCodes,recommendedFixes
9905d2c40d85b258,Deadline,Rob Mac & Ryan Reynolds’ ‘Welcome To Wrexham’ Renewed For 3 More Seasons By FX,https://deadline.com/2026/04/welcome-to-wrexham-renewed-3-seasons-fx-1236786277/,Welcome To Wrexham,tv,renewal,true,CAPTION_CANONICAL_ENTITY_MISMATCH,Validate caption headline entity against canonical media title and allowed entities.
ce054b8d6f428ff6,Deadline,Tyler Perry Joins ‘Joe Turner’s Come And Gone’ Broadway Producing Team,https://deadline.com/2026/04/tyler-perry-joe-turners-come-and-gone-broadway-1236785887/,Joe Turner,movie,casting,true,CAPTION_ARTICLE_PACKAGE_LABEL|CAPTION_HEADLINE_JUNK|CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PROJECT_FALLBACK_EMPTY|CAPTION_PACKAGE_LABEL_LEAK|CAPTION_MALFORMED_HEADLINE,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Validate caption headline entity against canonical media title and allowed entities.|Strip outlet package labels before deterministic caption generation.
d5e16eac8e5c41e8,Deadline,Alex MacCallum Promoted To Chief Operating Officer At CNN,https://deadline.com/2026/04/alex-maccallum-cnn-chief-operating-officer-1236786388/,,person,other,true,CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_SAFE_BLOCK|TMDB_TITLE_NOT_RESOLVED|ENTITY_NOT_RESOLVED|ENTITY_NOT_RESOLVED_SAFE_BLOCK,Tighten canonical entity extraction before image or caption generation.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Validate caption headline entity against canonical media title and allowed entities.
a4de743f022176be,Deadline,International Insider: Cannes Keeps Biz Guessing; Netflix Bets House On Argentina; ‘The Testaments’,https://deadline.com/2026/04/cannes-film-festival-the-testaments-international-insider-1236785655/,,person,other,true,IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|TMDB_TITLE_NOT_RESOLVED|ENTITY_NOT_RESOLVED|ENTITY_NOT_RESOLVED_SAFE_BLOCK,Tighten canonical entity extraction before image or caption generation.|Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.
18229abda01dc3fb,Deadline,MK2 Boards Ground-Breaking Rwandan Cannes-Selected Film ‘Ben’Imana’,https://deadline.com/2026/04/mk2-cannes-rwanda-benimana-1236786375/,Boards Ground-Breaking Rwandan Cannes-Selected,person,casting,true,IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PERSON_FALLBACK_NOT_ALLOWED,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.
aca6997e073b5662,Deadline,The Match Factory Boards Valeska Grisebach’s Cannes Title ‘The Dreamed Adventure’ — First Look,https://deadline.com/2026/04/the-match-factory-valeska-grisebach-the-dreamed-adventure-1236786379/,The Dreamed Adventure,movie,casting,false,,
9cd7b3886248876f,Deadline,BAFTA Apologizes “Unreservedly” To Black & Disabled Communities For Racial Slur Debacle After Review Finds “Number Of Structural Weaknesses” In Its Awards Planning,https://deadline.com/2026/04/bafta-apologizes-n-word-debacle-publishes-review-1236786350/,Unreservedly,movie,other,true,CAPTION_BROKEN_QUOTE|CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PROJECT_FALLBACK_EMPTY,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Reject broken quote fragments before captions can pass final validation.|Validate caption headline entity against canonical media title and allowed entities.
53249f0f66ff5099,Deadline,"‘The Last Thing He Told Me’ Star Judy Greer Breaks Down Season 2 Finale Twists & “Refreshing” Role Of Quinn, Who “Doesn’t Crumble”",https://deadline.com/2026/04/judy-greer-the-last-thing-he-told-me-season-2-end-interview-1236786239/,The Last Thing He Told Me,tv,other,true,CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_COMPANY_LOGO_MISUSED,Block company logos as primary images when a project or person entity exists.|Validate caption headline entity against canonical media title and allowed entities.
cff3fa2d15e278c2,Deadline,Finn Wolfhard Told ‘Malcolm in the Middle’ Creator “F*ck Yeah” To Revival Cameo: “He’s Such A Big Fan”,https://deadline.com/2026/04/finn-wolfhard-malcolm-in-the-middle-fck-yeah-revival-cameo-1236786293/,Finn Wolfhard Told,person,reveal,true,CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PERSON_FALLBACK_NOT_ALLOWED,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Validate caption headline entity against canonical media title and allowed entities.
7bfdba3a831afdca,Deadline,"‘Malcolm in the Middle: Life’s Still Unfair’ Creator & EP Wife On Bryan Cranston’s “Constant Nudity,” Channeling “Parental Pressure” & Representing Their LGBTQ Kids: “Really Important To Us”",https://deadline.com/2026/04/malcolm-in-the-middle-creator-ep-wife-lgbtq-kids-1236786214/,Life's Still Unfair' Creator,person,return,true,IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PERSON_FALLBACK_NOT_ALLOWED,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.
8a97c16bbc9cc4a5,Deadline,"‘Death Of A Salesman’ Broadway Review: Nathan Lane And Laurie Metcalf Shine In Director Joe Mantello’s Stark, Blistering Revival",https://deadline.com/2026/04/death-of-a-salesman-broadway-review-nathan-lane-1236784788/,Death Of A Salesman,movie,other,true,CAPTION_CANONICAL_ENTITY_MISMATCH,Validate caption headline entity against canonical media title and allowed entities.
31190c5fd08d4d63,Deadline,‘Malcolm in the Middle’s Bryan Cranston & Jane Kaczmarek On What Keeps Hal & Lois Together: “They Have Good Sex”,https://deadline.com/2026/04/malcolm-in-the-middle-bryan-cranston-jane-kaczmarek-good-sex-1236786200/,They Have Good Sex,tv,other,true,CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PROJECT_FALLBACK_EMPTY,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Validate caption headline entity against canonical media title and allowed entities.
9f06698041983821,THR,Some NYU Film Students Will Now Be Given Tools to Make Movies With AI (Exclusive),https://www.hollywoodreporter.com/movies/movie-news/nyu-film-school-runway-ai-tools-spike-lee-1236560902/,Some NYU Film Students,person,other,true,IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PERSON_FALLBACK_NOT_ALLOWED,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.
23083a8fa7347767,THR,‘Welcome to Wrexham’ Lands Big Three-Season Renewal at FX,https://www.hollywoodreporter.com/tv/tv-news/welcome-to-wrexham-renewed-through-season-8-fx-1236560957/,Wrexham' Lands Big Three-Season,person,other,true,CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_TMBD_CANDIDATE_ZERO_TOKEN_OVERLAP,Add canonical token overlap gating before accepting TMDb title candidates.|Validate caption headline entity against canonical media title and allowed entities.
956d9e285eff1816,THR,"Why Zendaya and Tom Holland Won This Week, But ‘Harry Potter’ and ‘Dune’ Lost",https://www.hollywoodreporter.com/movies/movie-news/zendaya-tom-holland-harry-potter-dune-1236560114/,,person,other,true,CAPTION_BROKEN_QUOTE|CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|TMDB_TITLE_NOT_RESOLVED|ENTITY_NOT_RESOLVED|ENTITY_NOT_RESOLVED_SAFE_BLOCK,Tighten canonical entity extraction before image or caption generation.|Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Reject broken quote fragments before captions can pass final validation.|Validate caption headline entity against canonical media title and allowed entities.
bfd88fcc920b1c7b,THR,Inside the Global Agency That Turns Stylists Into Stars,https://www.hollywoodreporter.com/lifestyle/lifestyle-news/global-agency-stylists-stars-1236556246/,Global Agency That Turns,person,other,true,IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PERSON_FALLBACK_NOT_ALLOWED,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.
f9b68691d63ce7e8,THR,YouTube Premium Raises Prices For First Time Since 2023,https://www.hollywoodreporter.com/business/digital/youtube-hikes-prices-youtube-premium-music-1236561098/,YouTube Premium Raises Prices,person,other,true,IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PERSON_FALLBACK_NOT_ALLOWED,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.
641d16ef2095364d,THR,Fox News Is Sending ‘Fox & Friends’ on an RV Road Trip (Exclusive),https://www.hollywoodreporter.com/tv/tv-news/fox-friends-rv-contest-road-trip-1236560157/,RV Road Trip,person,other,true,CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_TMBD_CANDIDATE_ZERO_TOKEN_OVERLAP,Add canonical token overlap gating before accepting TMDb title candidates.|Validate caption headline entity against canonical media title and allowed entities.
67d0a950677383b0,THR,"BAFTA Film Awards Review of Tourette’s Fiasco Finds “Weaknesses” in Planning and Crisis Procedures, But No “Malicious Intent”",https://www.hollywoodreporter.com/movies/movie-news/bafta-awards-review-planning-crisis-john-davidson-lindo-bbc-1236561073/,Weaknesses,movie,casting,true,CAPTION_BROKEN_QUOTE,Reject broken quote fragments before captions can pass final validation.
1f56afbebefb6be8,THR,‘Thrash’ Review: Phoebe Dynevor Gives Birth in Floodwaters Teeming With Sharks in Preposterous but Enjoyable Netflix Pulp,https://www.hollywoodreporter.com/movies/movie-reviews/thrash-review-phoebe-dynevor-netflix-shark-thriller-1236556644/,Thrash,movie,other,true,CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_COMPANY_LOGO_MISUSED,Block company logos as primary images when a project or person entity exists.|Validate caption headline entity against canonical media title and allowed entities.
8411a656c0ea533d,THR,"Where to Watch ‘Malcolm in the Middle: Life’s Still Unfair,’ Sequel to the 2000s Sitcom",https://www.hollywoodreporter.com/tv/tv-news/watch-malcolm-in-the-middle-lifes-still-unfair-free-online-1236560825/,Malcolm in the Middle,tv,other,false,,
8c8c32c0ef9a574a,THR,No Superheroes Needed: ‘The Devil Wears Prada 2’ to Kick Off Summer Box Office in High Style,https://www.hollywoodreporter.com/movies/movie-news/devil-wears-prada-2-summer-box-office-high-style-1236560947/,The Devil Wears Prada 2,movie,box_office,true,CAPTION_CANONICAL_ENTITY_MISMATCH,Validate caption headline entity against canonical media title and allowed entities.
1f46500e880a83a1,ScreenRant,Ryan Reynolds' Hit Hulu Series Officially Returning For 3 More Seasons,https://screenrant.com/welcome-to-wrexham-three-season-renewal-hulu-fx/,,person,return,true,IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|TMDB_TITLE_NOT_RESOLVED|ENTITY_NOT_RESOLVED|ENTITY_NOT_RESOLVED_SAFE_BLOCK,Tighten canonical entity extraction before image or caption generation.|Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.
b0b05b7b06ad9b08,ScreenRant,Malcolm In The Middle: Life’s Still Unfair Season 2 Return Potential Addressed By Creator,https://screenrant.com/malcolm-in-the-middle-lifes-still-unfair-season-2-chances-linwood-boomer/,Malcolm In The Middle,person,return,true,IMAGE_LOGO_OVERUSE|IMAGE_COMPANY_LOGO_MISUSED,Block company logos as primary images when a project or person entity exists.
6c48a442af92797d,ScreenRant,Steam Offers New Highly-Anticipated RPG You Can Try Free Now,https://screenrant.com/steam-free-download-neverway-demo-april-2026/,Steam Offers New Highly-Anticipated,person,other,true,IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PERSON_FALLBACK_NOT_ALLOWED,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.
d691301078e93f47,ScreenRant,A Video Game Of One Of 2026's Biggest Movies Is Officially On The Way,https://screenrant.com/project-hail-mary-video-game-vr/,Video Game Of One,person,box_office,true,CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PERSON_FALLBACK_NOT_ALLOWED,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Validate caption headline entity against canonical media title and allowed entities.
a77fcd569cba1041,ScreenRant,Zelda: Ocarina Of Time Remake's Dead Hand Is Already Terrifying Gamers,https://screenrant.com/zelda-ocarina-of-time-fan-remake-dead-hand/,,person,other,true,CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|TMDB_TITLE_NOT_RESOLVED|ENTITY_NOT_RESOLVED|ENTITY_NOT_RESOLVED_SAFE_BLOCK,Tighten canonical entity extraction before image or caption generation.|Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Validate caption headline entity against canonical media title and allowed entities.
96710c76923346f1,ScreenRant,"Absolute Green Arrow Creators Reveal Details of ""Serial Killer"" Reboot",https://screenrant.com/absolute-green-arrow-reboot-details-black-canary/,Absolute Green Arrow Creators,person,other,true,CAPTION_BROKEN_QUOTE|CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PERSON_FALLBACK_NOT_ALLOWED,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Reject broken quote fragments before captions can pass final validation.|Validate caption headline entity against canonical media title and allowed entities.
528a4d7aff6b962f,ScreenRant,Top 10 Greatest Spider-Man Stories Starring The Sinister Six,https://screenrant.com/spider-man-best-sinister-six-stories-all-time/,s rogues,movie,other,true,CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PROJECT_FALLBACK_EMPTY,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Validate caption headline entity against canonical media title and allowed entities.
848f48d0dc3fbee6,ScreenRant,10 Forgotten Fantasy TV Shows That Deserve A Second Chance,https://screenrant.com/near-perfect-fantasys-shows-no-one-remembers/,Forgotten Fantasy TV Shows,person,other,true,IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PERSON_FALLBACK_NOT_ALLOWED,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.
74b270d025f00953,ScreenRant,This Classic Cartoon Network Show's Movie Finale Is Still Perfect Over 15 Years Later,https://screenrant.com/ed-edd-eddy-perfect-finale-movie/,This Classic Cartoon Network,person,other,true,IMAGE_CANONICAL_ENTITY_MISMATCH|IMAGE_TMBD_CANDIDATE_ZERO_TOKEN_OVERLAP,Add canonical token overlap gating before accepting TMDb title candidates.|Require selected images to be grounded in canonical allowed entities.
e97f5c15c4cbda8a,ScreenRant,Marvel's Wolverine Official Update Fuels Rumors Of PlayStation State Of Play Next Week,https://screenrant.com/marvels-wolverine-update-state-of-play-april-16/,Marvel's Wolverine Official Update,person,release_date,true,CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_CANONICAL_ENTITY_MISMATCH|IMAGE_TMBD_CANDIDATE_ZERO_TOKEN_OVERLAP,Add canonical token overlap gating before accepting TMDb title candidates.|Require selected images to be grounded in canonical allowed entities.|Validate caption headline entity against canonical media title and allowed entities.
8881508eebba1cb4,ComicBook,Legendary Horror Series Confirms Streaming Debut After Years in Limbo,https://comicbook.com/tv-shows/news/legendary-horror-series-confirms-streaming-debut-after-years-in-limbo/,Legendary Horror Series Confirms,person,casting,true,IMAGE_CANONICAL_ENTITY_MISMATCH|IMAGE_TMBD_CANDIDATE_ZERO_TOKEN_OVERLAP,Add canonical token overlap gating before accepting TMDb title candidates.|Require selected images to be grounded in canonical allowed entities.
cc0c11026c13e169,ComicBook,Lightsabers Have Never Looked Better Than Star Wars’ New TV Show,https://comicbook.com/tv-shows/feature/lightsabers-have-never-looked-better-than-star-wars-new-tv-show/,"laser swords,",tv,casting,true,CAPTION_BROKEN_QUOTE|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PROJECT_FALLBACK_EMPTY,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Reject broken quote fragments before captions can pass final validation.
3d72153914e55278,ComicBook,"7 DC Weapons More Powerful Than Mjolnir, Ranked",https://comicbook.com/comics/list/7-dc-weapons-more-powerful-than-mjolnir-ranked/,DC Weapons More Powerful,person,casting,true,IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PERSON_FALLBACK_NOT_ALLOWED,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.
f9b88c048ba6e395,ComicBook,5 Best Gaming Pirates Of All Time,https://comicbook.com/gaming/list/5-best-gaming-pirates-of-all-time/,civilized,tv,casting,true,CAPTION_ARTICLE_PACKAGE_LABEL|CAPTION_HEADLINE_JUNK|CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PROJECT_FALLBACK_EMPTY|CAPTION_PACKAGE_LABEL_LEAK|CAPTION_MALFORMED_HEADLINE,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Validate caption headline entity against canonical media title and allowed entities.|Strip outlet package labels before deterministic caption generation.
1aac7b92a66861a5,ComicBook,"4 Years Later, DC Comics Revives Its Coolest Superman Idea (With a Twist)",https://comicbook.com/comics/feature/4-years-later-dc-comics-revives-its-coolest-superman-idea-with-a-twist/,Reign of the Superboys,movie,other,true,CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PROJECT_FALLBACK_EMPTY,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Validate caption headline entity against canonical media title and allowed entities.
4dc730c38ef9d1b5,ComicBook,Popular Life Sim Suddenly Removed from Steam Amid Copyright Controversy,https://comicbook.com/gaming/news/popular-life-sim-starsand-islanad-suddenly-removed-from-steam-amid-copyright-controversy/,Shining Star,movie,casting,true,IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PROJECT_FALLBACK_EMPTY,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.
1b620b203b7ba988,ComicBook,"10 Best Alternate X-Men Costumes From Age of Apocalypse, Ranked",https://comicbook.com/comics/list/10-best-alternate-x-men-costumes-from-age-of-apocalypse-ranked/,"90s X-Men, and a big reason for that is the undisputed classic",tv,casting,true,IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PROJECT_FALLBACK_EMPTY,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.
19c7f84ac400b75a,ComicBook,5 Criminally Cancelled Sci-Fi Shows We’ll Never Get Over,https://comicbook.com/tv-shows/list/5-criminally-cancelled-sci-fi-shows-well-never-get-over/,ll Never Get Over 5 Criminally Cancelled Sci-Fi Shows We,tv,casting,true,CAPTION_ARTICLE_PACKAGE_LABEL|CAPTION_HEADLINE_JUNK|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PROJECT_FALLBACK_EMPTY|CAPTION_PACKAGE_LABEL_LEAK|CAPTION_MALFORMED_HEADLINE,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Strip outlet package labels before deterministic caption generation.
17c4019e1a6d5dbf,ComicBook,Follow-Up to 2026’s Cult-Hit Horror Confirmed (& It’s What Fans Want),https://comicbook.com/movies/news/follow-up-to-2026s-cult-hit-horror-confirmed-its-what-fans-want/,Tuason told Phantasmag .,tv,casting,true,IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PROJECT_FALLBACK_EMPTY,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.
f694fd9784a2f57d,ComicBook,Blumhouse’s Grave Seasons Is the Murder Mystery Farming Sim That Could Be 2026’s GOTY Darkhorse,https://comicbook.com/gaming/feature/grave-seasons-preview-blumhouse-games/,horror farming sim,tv,trailer,true,CAPTION_BROKEN_QUOTE|CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PROJECT_FALLBACK_EMPTY,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Reject broken quote fragments before captions can pass final validation.|Validate caption headline entity against canonical media title and allowed entities.
139de13c688079a3,ComicBook,Missing Frieren’s Journey? This Spring 2026 Anime Brings the Magic Back,https://comicbook.com/anime/feature/missing-frierens-journey-this-spring-2026-anime-brings-the-magic-back/,Missing Frieren's Journey,person,casting,true,IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PERSON_FALLBACK_NOT_ALLOWED,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.
